==============================================================================
REZDY ROUND 1 -- SUPPLIER TEXT vs WHAT WE EXTRACTED
==============================================================================

100 products, the HARDEST in the catalogue (16-55 headings each).
Prompt: SYSTEM_PROMPT_RZ_DESC_V1_2

HOW TO READ A BLOCK
------------------------------------------------------------------------------
  SUPPLIER TEXT   what the model was given. This is the supplier's own
                  words with their HTML formatting restored as plain
                  marks -- '## ' a heading tag, '**bold**', '- ' a list
                  item, '[text](url)' a link. Nothing added or removed;
                  verified word-for-word on all 9,361 products.
  EXTRACTED       the fields that were filled, and their exact contents.
  EMPTY           fields left blank. A blank is the rule WORKING: the
                  supplier wrote no heading naming that field, so the
                  text stayed in ABOUT. It does not mean text was lost.
  FLAGS           the model's own notes on anything it moved.

THE TWO NUMBERS ON EVERY PRODUCT
------------------------------------------------------------------------------
  RETENTION   share of the supplier's distinct words that appear
              SOMEWHERE in our output. This is the content-loss measure.
              It CANNOT see a word that survived in the WRONG field --
              that is what the issue list is for. On Fareharbor, 11 of 13
              defects in one run lost no text at all, so high retention
              is necessary but not sufficient.
  FILL RATE   share of the 21 fields that got content. LOW IS OFTEN
              CORRECT: a field only fills when the supplier wrote a
              heading for it, and about half of Rezdy products write few
              or none. A low fill rate with high retention means the text
              is all present, sitting in ABOUT, exactly as intended.

RUN TOTALS
------------------------------------------------------------------------------
  mean retention     98.8%       (worst 91.2%, best 100.0%)
  products >= 95%    99 / 100
  products >= 99%    57 / 100
  mean fill rate     24.1%       (5.1 of 21 fields on average)
  no findings        44 / 100 products
  findings by type  NO HEADING 54, DUPLICATED 35, CONTENT LOSS 19, REWORDED 17, URL LOST 1, MID-SENTENCE 1

  For comparison, the OLD method (Step 1) retained 71.8% of the same
  suppliers' words across these same 100 products.

INDEX -- worst retention first
------------------------------------------------------------------------------
  PRODUCT    SUPPLIER                HEAD  RETAIN  FILLED  ISSUES
  PYXCCK     cape2camp                 16   98.3%   7/21   no heading 1
  PQXVJF     barossaoutdoors           18   98.4%   6/21   no heading 1
  P70YXP     pineappletours            16   98.4%   6/21   duplicated 1
  PPHWME     egobikehire               19   98.4%   8/21   reworded 2, content loss 1, duplicated 1
  PB5S7C     barossaoutdoors           19   98.5%   8/21   no heading 2
  PTKVYY     capetocapetours           17   98.5%   3/21   none
  PT8TLG     skyroadtrail              25   98.6%   9/21   no heading 1
  PJSFJP     emurun                    17   98.6%   5/21   none
  PZN7XD     gltg-perth-autopia-tou    21   98.6%  10/21   duplicated 1
  PEVUE4     otaokitchen               26   98.6%   8/21   no heading 3, content loss 1, duplicated 1
  PVV63Z     saecotours                32   98.8%   4/21   reworded 1
  PT1CFA     pineappletours            22   98.9%   2/21   no heading 1
  PWPX11     poseidonadventure         21   98.9%   6/21   none
  PDNUDX     emurun                    17   99.0%   5/21   none
  PGRR3S     emurun                    17   99.0%   5/21   none
  PCXTA6     gltg-perth-autopia-tou    21   99.0%  10/21   duplicated 1
  PPNU0F     gltg-perth-autopia-tou    21   99.0%  10/21   none
  P69Y90     gltg-melbourne-sydney     22   99.0%  10/21   none
  PCC2FP     nttopadventures           25   99.0%   3/21   no heading 2
  PNNEKD     gltg-melbourne-sydney     22   99.0%  10/21   none
  PQLM1S     theactc                   19   99.1%   4/21   none
  PJWVJ6     barossaoutdoors           22   99.1%   3/21   none
  P1VTG0     theapertureclub           19   99.1%   5/21   none
  PJAK8R     skyroadtrail              25   99.1%   7/21   no heading 1
  PH8D0L     gltg-darwin               22   99.1%   9/21   none
  PFYJ8P     gltg-darwin               22   99.1%   9/21   none
  PTJ0EC     photographyworkshops      21   99.1%   4/21   duplicated 1
  PYGCD0     photographyworkshops      23   99.1%   4/21   duplicated 1
  PZVPEU     theapertureclub           16   99.2%   7/21   reworded 2
  PS01BF     photographyworkshops      22   99.2%   4/21   duplicated 3
  PUFWUT     gltg-melbourne-sydney     22   99.3%  10/21   none
  PEDP01     ethicaladventures         19   99.3%   5/21   no heading 3, mid-sentence 1
  P9GV2Y     brisbanetoyambatours      23   99.3%   2/21   none
  P1BEM7     unwindtours31             16   99.3%   4/21   no heading 1
  P7RYNW     wildescapestasmania       26   99.3%   7/21   no heading 1
  PXY1BL     beyondbordersexperienc    31   99.3%   2/21   none
  PM8U68     theactc                   17   99.3%   4/21   none
  PATGNR     skyroadtrail              52   99.3%   3/21   none
  PVFNZS     want-tours                40   99.4%   5/21   none
  PS1YDW     beyondbordersexperienc    25   99.4%   3/21   none
  PAYXFR     beyondbordersexperienc    35   99.4%   2/21   none
  PD0W0F     gltg-darwin               21   99.4%   9/21   none
  PUW953     want-tours                36   99.4%   5/21   none
  PBTBKL     luxuryoutbacktour         30   99.4%   5/21   reworded 1
  P7LN79     hoponhopoffwinetours      38   99.5%   4/21   content loss 1, reworded 1, no heading 1
  PEPGXL     connectaussietours        55   99.5%   2/21   no heading 1
  P4PN1R     offroadrush               20   99.5%   6/21   none
  PHEVWP     poseidonadventure         23   99.6%   9/21   none
  PBWZY2     viatravel                 29   99.6%   3/21   duplicated 1
  PYSD1R     cheekykeatours            24   99.6%   4/21   content loss 1, reworded 1
  PKQ8SH     saecotours                31   99.6%   3/21   reworded 1
  PWY4P4     melbourneboathire         17   99.6%   2/21   none
  PDAZEA     untamedescapes            34   99.6%   4/21   duplicated 4, reworded 2, no heading 1
  PJCEZZ     untamedescapes            32   99.6%   4/21   duplicated 4, reworded 2, no heading 1
  PBLXXJ     bearbrasstours            48   99.7%   2/21   duplicated 1
  PKFTWQ     want-tours                34   99.7%   4/21   none
  P1YNVU     viatravel                 45   99.7%   3/21   reworded 1, duplicated 1
  PWLAK8     viatravel                 52   99.7%   3/21   duplicated 1
  P7JY1E     pineappletours            19   99.8%   2/21   none
  PZXFYS     untamedescapes            22   99.8%   5/21   no heading 1
  P7CC1G     koshertoursandtravel      18   99.8%   2/21   duplicated 2
  PG0UJ0     melbourneaustraliatour    17   99.8%   1/21   content loss 1
  PFR1SX     luxuryoutbacktour         21   99.9%   2/21   no heading 1
  P0WDC8     farnorthescapes23         21   99.9%   1/21   none
  PKBUB1     luxuryoutbacktour         28   99.9%   2/21   none
  PBWS0N     hoponhopoffwinetours      39  100.0%   4/21   none
  PPCW71     outbackhorizons55         38  100.0%   2/21   none
  PVWPH2     adventurehorsetrekking    35  100.0%   3/21   none
  PMUZZL     nttopadventures           29  100.0%   2/21   none
  PTW3FE     nttopadventures           26  100.0%   1/21   none
  PJZBNW     chameleontravelshop82     23  100.0%   2/21   no heading 1
  PNB4HJ     farnorthescapes23         20  100.0%   1/21   none
  P5F10R     saecotours                16  100.0%   3/21   none
  PD09RY     outbackhorizons55         16  100.0%   2/21   none

Full issue detail per product: reports/rezdy_desc_100_issues.txt
The same products beside the OLD method: exports/rezdy_step1_vs_step2_100.xlsx


==============================================================================
PEPGXL   connectaussietours
Great Ocean Road Tour and VIP Wildlife Experience
==============================================================================
  RETENTION  99.5%   FILL RATE   9.5% (2/21 fields)   FINDINGS 1
  55 headings | 466 words | raw file: Rezdy-connectaussietours-PEPGXL.json

  ISSUES FOUND (CANDIDATE -- verify against the text below)
    [NO HEADING] redo_desc_itinerary filled but no heading names it

------------------------------------------------------------------------------
SUPPLIER TEXT (what the model was given)
------------------------------------------------------------------------------
    ## **Stop 1: Guaranteed Australian Wildlife Encounter – Only with Us - ** 中文版本在英文下方 Your day begins with something no other Great Ocean Road tour can offer — a guaranteed, hands-on encounter with real Australian wildlife, including koalas you can pat and photograph under licensed supervision. While other tours promise “wildlife spotting,” we guarantee it. No hoping for distant glimpses — this is a genuine, up-close experience in a private, weather-safe indoor venue at Akuna Anglesea, hosted by WildlifeXposure’s licensed wildlife educators. You’ll meet: Koalas – touch and take photos (supervised) Snakes, crocodiles, and native birds Possums, gliders, dragons and lizards This unforgettable VIP session includes morning tea at Akuna’s award-winning restaurant — coffee, pastries, paninis, and fresh juice — before we hit the road. **Stop 2: Great Ocean Road Memorial Arch** Next, we visit the famous Memorial Arch, the historic gateway built by returned WWI servicemen — the world’s largest war memorial. It’s a perfect photo stop and the true start of your coastal adventure. **Stop 3: Apollo Bay – Seaside Lunch** Relax in Apollo Bay, a charming coastal village where the Otways meet the sea. Enjoy free time for lunch, beach walks, or local shopping before continuing west. **Stop 4: The Twelve Apostles – Coastal Icons** We finish at the breathtaking Twelve Apostles, Victoria’s most photographed natural wonder. Walk the viewing boardwalks and capture unforgettable photos of the rugged cliffs and ocean stacks. Return Journey The return trip winds inland through the Otway forest and countryside, offering a peaceful end to your full-day adventure. No other tour gives you this — a guaranteed hands-on koala encounter, plus the best of the Great Ocean Road, all in one day.
    **INCLUSION:**
    - VIP Wildlife Encounter – guaranteed hands-on experience with koalas, crocodile, snakes and more , delivered by licensed wildlife educators Morning Tea ** **-Amazing tasty treats at Akuna Anglesea 
    -  Great Ocean Road Sightseeing ** **Iconic stops including Memorial Arch, Apollo Bay, and the Twelve Apostles
    -  Comfortable Transport ** **-Modern coach with air-conditioning and professional driver 
    -  Small Group Experience ** **-capped daily numbers for comfort and personal interaction 
    -  Professional Host/Guide – to ensure a smooth and enjoyable day
    ## 停靠点 1：澳大利亚野生动物保证互动体验 – 仅此一家
    **您的一天从别具一格的体验开始——这是大洋路上其他任何旅行团都无法提供的：**
    **一次有保证的、可亲手接触的真实澳大利亚野生动物互动。**
    **您将在持证指导员的监督下，亲自抚摸并与考拉合影。**
    **其他旅行团也许承诺“有机会看到野生动物”，**
    **但我们能 保证 您一定见到。**
    **无需远远观望或碰运气——**
    **在安格尔西 Akuna 的私人室内场地中，**
    **由 WildlifeXposure 持证的野生动物教育员带您进行**
    **安全、舒适、近距离的互动体验。**
    **您将亲自接触到：**
    - 考拉 – 抚摸并合影（持证监督）
    - 蛇、鳄鱼和澳洲本土鸟类
    - 负鼠、滑翔鼠、蜥蜴和巨蜥等爬行动物
    **这一难忘的 VIP 野生动物体验**
    **还包含 Akuna 获奖餐厅的 早茶时光 ——**
    **新鲜咖啡、酥点、三明治和果汁。**
    **之后我们将正式踏上大洋路之旅。**
    ## 停靠点 2：大洋路纪念拱门
    **接下来，我们将前往著名的 纪念拱门，**
    **这座历史性的地标由一战退伍军人修建，**
    **是世界上最大的战争纪念碑。**
    **这是拍照留念的绝佳地点——**
    **也是您海岸探险之旅真正的起点。**
    ## 停靠点 3：阿波罗湾 – 海边午餐
    **在迷人的海滨小镇 阿波罗湾 放松休息，**
    **这里是奥特韦山脉与大海交汇的地方。**
    **您可自由享用午餐、漫步沙滩，**
    **或探索当地商店后继续西行。**
    ## 停靠点 4：十二使徒岩 – 海岸地标
    **我们的最后一站是令人叹为观止的 十二使徒岩 ——**
    **维多利亚州最具代表性的自然奇观。**
    **您可沿着观景步道漫步，**
    **欣赏壮丽的悬崖与海上岩柱，**
    **拍摄一生难忘的照片。**
    ## 返程旅途
    **回程将穿越奥特韦森林与乡村风光，**
    **为您的一日探险画上宁静完美的句号。**
    **没有任何其他旅行能做到这一点 ——**
    **保证亲手接触考拉，**
    **再加上大洋路最精彩的景点，**
    **一切尽在一天之内完成！**
    ## 行程包含内容：
    **VIP 野生动物互动体验 –**
    **保证与考拉、鳄鱼、蛇等近距离接触，**
    **由持证野生动物教育员带领。**
    **早茶时光 –**
    **在安格尔西 Akuna 餐厅享用美味点心。**
    **大洋路观光 –**
    **包含纪念拱门、阿波罗湾及十二使徒岩等标志性景点。**
    **舒适交通 –**
    **现代空调旅游大巴，配专业司机。**
    **小团体体验 –**
    **每日人数限制，保证舒适与个性化互动。**
    **专业导游/主持人 –**
    **确保行程顺畅愉快。**

------------------------------------------------------------------------------
EXTRACTED
------------------------------------------------------------------------------

  [WHAT'S INCLUDED]
      VIP Wildlife Encounter – guaranteed hands-on experience with koalas, crocodile, snakes and more , delivered by licensed wildlife educators Morning Tea -Amazing tasty treats at Akuna Anglesea
      Great Ocean Road Sightseeing Iconic stops including Memorial Arch, Apollo Bay, and the Twelve Apostles
      Comfortable Transport -Modern coach with air-conditioning and professional driver
      Small Group Experience -capped daily numbers for comfort and personal interaction
      Professional Host/Guide – to ensure a smooth and enjoyable day
      VIP 野生动物互动体验 – 保证与考拉、鳄鱼、蛇等近距离接触，由持证野生动物教育员带领。
      早茶时光 – 在安格尔西 Akuna 餐厅享用美味点心。
      大洋路观光 – 包含纪念拱门、阿波罗湾及十二使徒岩等标志性景点。
      舒适交通 – 现代空调旅游大巴，配专业司机。
      小团体体验 – 每日人数限制，保证舒适与个性化互动。
      专业导游/主持人 – 确保行程顺畅愉快。

  [ITINERARY]
      Stop 1: Guaranteed Australian Wildlife Encounter – Only with Us - 中文版本在英文下方 Your day begins with something no other Great Ocean Road tour can offer — a guaranteed, hands-on encounter with real Australian wildlife, including koalas you can pat and photograph under licensed supervision. While other tours promise “wildlife spotting,” we guarantee it. No hoping for distant glimpses — this is a genuine, up-close experience in a private, weather-safe indoor venue at Akuna Anglesea, hosted by WildlifeXposure’s licensed wildlife educators. You’ll meet: Koalas – touch and take photos (supervised) Snakes, crocodiles, and native birds Possums, gliders, dragons and lizards This unforgettable VIP session includes morning tea at Akuna’s award-winning restaurant — coffee, pastries, paninis, and fresh juice — before we hit the road.
      Stop 2: Great Ocean Road Memorial Arch Next, we visit the famous Memorial Arch, the historic gateway built by returned WWI servicemen — the world’s largest war memorial. It’s a perfect photo stop and the true start of your coastal adventure.
      Stop 3: Apollo Bay – Seaside Lunch Relax in Apollo Bay, a charming coastal village where the Otways meet the sea. Enjoy free time for lunch, beach walks, or local shopping before continuing west.
      Stop 4: The Twelve Apostles – Coastal Icons We finish at the breathtaking Twelve Apostles, Victoria’s most photographed natural wonder. Walk the viewing boardwalks and capture unforgettable photos of the rugged cliffs and ocean stacks.
      Return Journey The return trip winds inland through the Otway forest and countryside, offering a peaceful end to your full-day adventure. No other tour gives you this — a guaranteed hands-on koala encounter, plus the best of the Great Ocean Road, all in one day.
      停靠点 1：澳大利亚野生动物保证互动体验 – 仅此一家
      您的一天从别具一格的体验开始——这是大洋路上其他任何旅行团都无法提供的：
      一次有保证的、可亲手接触的真实澳大利亚野生动物互动。
      您将在持证指导员的监督下，亲自抚摸并与考拉合影。
      其他旅行团也许承诺“有机会看到野生动物”，
      但我们能 保证 您一定见到。
      无需远远观望或碰运气——
      在安格尔西 Akuna 的私人室内场地中，
      由 WildlifeXposure 持证的野生动物教育员带您进行
      安全、舒适、近距离的互动体验。
      您将亲自接触到：
      考拉 – 抚摸并合影（持证监督）
      蛇、鳄鱼和澳洲本土鸟类
      负鼠、滑翔鼠、蜥蜴和巨蜥等爬行动物
      这一难忘的 VIP 野生动物体验
      还包含 Akuna 获奖餐厅的 早茶时光 ——
      新鲜咖啡、酥点、三明治和果汁。
      之后我们将正式踏上大洋路之旅。
      停靠点 2：大洋路纪念拱门
      接下来，我们将前往著名的 纪念拱门，
      这座历史性的地标由一战退伍军人修建，
      是世界上最大的战争纪念碑。
      这是拍照留念的绝佳地点——
      也是您海岸探险之旅真正的起点。
      停靠点 3：阿波罗湾 – 海边午餐
      在迷人的海滨小镇 阿波罗湾 放松休息，
      这里是奥特韦山脉与大海交汇的地方。
      您可自由享用午餐、漫步沙滩，
      或探索当地商店后继续西行。
      停靠点 4：十二使徒岩 – 海岸地标
      我们的最后一站是令人叹为观止的 十二使徒岩 ——
      维多利亚州最具代表性的自然奇观。
      您可沿着观景步道漫步，
      欣赏壮丽的悬崖与海上岩柱，
      拍摄一生难忘的照片。
      返程旅途
      回程将穿越奥特韦森林与乡村风光，
      为您的一日探险画上宁静完美的句号。
      没有任何其他旅行能做到这一点 ——
      保证亲手接触考拉，
      再加上大洋路最精彩的景点，
      一切尽在一天之内完成！

  EMPTY (19): ABOUT / DESCRIPTION, IMPORTANT INFO, HIGHLIGHTS, WHAT'S NOT INCLUDED, EXTRAS, WHAT TO BRING, DURATION, CANCELLATION, CHECK IN, ACCESSIBILITY, RESTRICTIONS, SPECIAL REQUIREMENTS, FAQS, PRICING, DISCLAIMERS, HEALTH & SAFETY, CONTACT, MEETING POINT, GROUP SIZE
    ^ the supplier wrote no heading for these. Their text, if any,
      is in ABOUT above -- nothing was dropped.


==============================================================================
PWLAK8   viatravel
Best Of The East Coast – 16 Day Boutique Tour
==============================================================================
  RETENTION  99.7%   FILL RATE  14.3% (3/21 fields)   FINDINGS 1
  52 headings | 2,113 words | raw file: Rezdy-viatravel-PWLAK8.json

  ISSUES FOUND (CANDIDATE -- verify against the text below)
    [DUPLICATED] redo_desc_what_included & redo_desc_itinerary: Great Barrier Reef day cruise including snorkelling & glass bottom boat

------------------------------------------------------------------------------
SUPPLIER TEXT (what the model was given)
------------------------------------------------------------------------------
    ## Best of East Coast Australia – 16 Day Boutique Tour
    You’ll explore all the iconic hot spots, of course – Sydney’s famous harbour, snorkelling with sea-life at the Great Barrier Reef, the glittering sand at Whitehaven beach, and meeting koalas, platypus, crocs and more – but you’ll also get the hidden gems that only locals know about. And of course, out-of-this-world food and wine. Ready to discover the east coast?
    No hidden cost on our tours. Look closely at the value for money with our amazing inclusions below!
    ## Included
    - Great Barrier Reef day cruise including snorkelling & glass bottom boat
    - Whitsunday Islands & Whitehaven beach day trip & snorkelling
    - K'gari (Fraser Island) 4WD Experience - the largest sand island in the world
    - Hunter Valley wine, cheese, chocolate tastings
    - Conservation Wildlife Park visit - Get close to many native / unique australian animals like kangaroos, emus, wombats and more
    - Gumbaynggirr First nations experience
    - Koala Hospital visit in Port Macquarie
    - Visit Cape Tribulation
    - Skyrail gondola ride over lush rainforest to the town of Kuranda
    - Daintree rainforest walk - Off the beaten track interpretive, sustainable walk with a local passionate expert
    - Eco-friendly nature cruise - Spot crocodiles, birds, fish in the wild
    - Mossman Gorge entry and soft adventure walk
    - Kuku Yalanji First nations local walk experience
    - Enjoy the wonderful Byron Bay and it’s famous Cape Byron Lighthouse
    - Atherton tablelands tour – Volcanic crater lake, stunning waterfalls and a chance to spot wild platypus
    - Small Group Tour (Max 16 Guests)
    - All transport (Private buses, transfers, domestic flight, ferry & boat trips)
    - All accommodation (Boutique locally owned hotels/resorts)
    - Friendly & experienced local guide
    - 14 breakfasts, 5 lunches, 1 dinner
    ## Full Itinerary
    **Day 1: Sydney **
    We start in Australia's Harbour City, the glittering jewel in the east coast's crown. Check into your room, freshen up, then meet your tour leader and new travel mates for a welcome meeting at 6pm. Then we are off for a great welcome dinner, and the chance to get to know your fellow travellers.
    **Included Activities**
    - Get to know your fellow travellers with a welcome meeting and dinner
    **Included Meals**
    - Welcome Dinner
    **Accommodation** – [Holiday Inn Potts point](https://www.ihg.com/holidayinn/hotels/us/en/sydney/sydas/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-AU-_-SYDAS)
    **Day 2: Hunter Valley and Newcastle **
    We leave behind Sydney's skyscrapers and sidewalks for a wildlife park boasting an all-star cast of koalas, kangaroos, and more. We're in the heart of the Hunter Valley, so there's nothing better than to take a wine, cheese & chocolate tasting. We'll also visit the sunny port city of Newcastle, rounding off an eclectic day.
    **Included Activities**
    - Conservation Wildlife Park visit - Get close to many native / unique australian animals like kangaroos, emus and more
    - Hunter Valley wine, cheese & chocolate tasting
    - Newcastle orientation tour
    **Included Meals**
    - Breakfast
    **Accommodation** – [Lucky Hotel Newcastle](https://theluckyhotel.com.au/)
    **Day 3: Port Macquarie & The Koala Hospital **
    After breakfast, we’re off to Port Macquarie, where we’ll have a chance to meet the volunteers at a Port Macquarie Koala Hospital. If you're unable to tear yourself away from the cuddly critters, don’t worry – you’re not the first. Expect to come away with loads more knowledge about these often misunderstood creatures, & how by joining our tour, you are supporting this amazing centre's conservation efforts. Relax for the evening with a stroll along the foreshore & a free night for dinner. Enjoy the sounds of the local bird population and keep your eyes peeled for the local wild dolphins who frequent the area!
    **Included Activities**
    - Visit Port Macquarie Koala Hospital
    - Foreshore walk and a chance to spot wild dolphins
    **Included Meals**
    - Breakfast
    **Accommodation** – [El Paso Motor Inn ](https://elmotorinn.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb)
    **Day 4: Niigi Niigi (Sealy Lookout) & Byron Bay **
    Take part in an immersive First Nations experience of the Gumbaynggirr nation, that will get you in touch with the traditional custodians of this land. Then we're headed to Byron Bay, a laid-back surf paradise with boundless coastline, sand and friendly locals. We'll pay a visit to Cape Byron, for a unique photo opportunity, and the chance for the eagle-eyed to spot dolphins, whales, and other marine life.
    **Included Activities**
    - Immersive Gumbaynggirr First Nations experience
    - Visit to Cape Byron to see the famous local lighthouse, the most easterly point of Australia for a unique photo opportunity, and the chance for the eagle-eyed to spot dolphins, whales in season, and other marine life.
    **Included Meals**
    - Breakfast
    **Accommodation** – [Beachcomber Byron Bay](https://beachcomberbyron.com.au/)
    **Day 5: Byron Bay **
    Today we're talking relaxation, relaxation, and relaxation. Spend the morning on the warm sand, shopping for bargains, or indulge in one of our optional activities: surfing or kayaking plus many activities like balloon rides, whale watching, brewery tours etc. The day is all yours – put your feet up, head to a cosy bar, or watch the world go by from one of the local cafes.
    **Included Activities**
    - Free day to relax, or enjoy optional activities: Surf lesson, kayak experience & more
    **Included Meals**
    - None
    **Accommodation** – [Beachcomber Byron Bay](https://beachcomberbyron.com.au/)
    **Day 6: Noosa & Rainbow Beach**
    We're crossing into Queensland – the Sunshine State. Your first stop is laid-back Noosa, and Noosa National Park where you will have the chance to spot koalas and other Aussie critters. We continue further up the Sunshine Coast to our base for the next 2 nights, it's time to relax and soak up the atmosphere of the vibrant Rainbow Beach.
    **Included Activities**
    - Noosa National Park & the chance to spot koalas in the wild
    - Noosa orientation including Noosa Main Beach and Hastings Street
    **Included Meals**
    - Breakfast
    **Accommodation** – [Rainbow Getaway Apartments](https://demo.rainbowgetaway.com.au/)
    **Day 7: K’Gari (Fraser Island) **
    Ready, steady, go, for a once-in-a-lifetime 4WD K’Gari adventure today. Once known as Fraser Island, the destination has been returned to its original name K’gari. K’gari is the local Butchulla nation’s name for the island, meaning ‘paradise’ – you’ll find out why soon enough.
    You'll never want to leave, as we explore the largest sand island in the world, kick back at some of Queensland's most renowned lookouts, take a walk on the wild side in a lush rainforest, dive into Boorangoora (Lake McKenzie) a crystal-clear lake, see the famous S.S Maheno shipwreck and course go dingo-spotting along the golden 75 Mile Beach. The fun needn't stop there; after the tour feel free to enjoy Carlo Sand Blow and Rainbow Beach, or put your feet up in your accommodation.
    **Included Activities**
    - Once-in-a-lifetime 4WD bus adventure to K’Gari (Fraser Island).
    **Included Meals**
    - Breakfast & Lunch
    **Accommodation** – [Rainbow Getaway Apartments](https://demo.rainbowgetaway.com.au/)
    **Day 8: Brisbane **
    It’s Bris-vegas baby! We’re off to Queensland’s capital, Brisbane, soon to be home of the summer Olympics. Laidback, sunny, optimistic, buzzing – in many ways it’s the quintessential Aussie city. See for yourself how wonderful Brisbane is with a walk (or ferry ride) along the aptly named Brisbane river and its surrounds.
    **Included Activities**
    - Orientation tour
    **Included Meals**
    - Breakfast
    **Accommodation** – [The Point Hotel Brisbane](https://gettothepoint.com.au/)
    **Day 9: Brisbane to Airlie Beach **
    Airport time! It’s up, up, and away, as we take the plane to Airlie beach, the jewel in the magnificent Whitsundays crown. It’s another choose-your-own-adventure day: take a stroll through the town, find a cool little bar, or explore the local swimming hole, the choice is yours.
    **Included Activities**
    - Free afternoon & evening to explore Airlie Beach
    - Domestic Flight to the Whitsunday Coast
    **Included Meals**
    - Breakfast
    **Accommodation** – [Mantra Club Croc](https://all.accor.com/hotel/B3L3/index.en.shtml?utm_campaign=seo+maps&utm_medium=seo+maps&utm_source=google+Maps)
    **Day 10: Airlie Beach & Whitsunday Islands **
    After breakfast, we're taking a day cruise through the postcard-perfect islands of the Whitsundays, including a stop at the famed Whitehaven beach. Words can't do justice to the dazzling white sands, azure waters, and densely verdant vegetation of this incredible corner of the world (so we won’t try!). Get a closer look by snorkelling with colourful coral, and an array of playful fish and maybe even some turtles. Afterwards, it's your chance to relax or seek out the town's best food and drink options.
    **Included Activities**
    - Whitsundays Islands day cruise including snorkelling, Whitehaven beach visit, Hill Inlet walk and lunch
    Included Meals
    - Breakfast & Lunch
